binary,nwarehouse,nitems,nthread,duration,nops,total_ops,exec_time,throughput
./tpcc.adr.clobber,10,1000000,1,10,0,675530,10.000000,67553
./tpcc.adr.undo,10,1000000,1,10,0,405817,10.000000,40581
./tpcc.eadr.clobber,10,1000000,1,10,0,719639,10.000000,71963
./tpcc.eadr.undo,10,1000000,1,10,0,1082947,10.000000,108294
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,783632,10.000000,78363
./tpcc.adr.clobber,10,1000000,1,10,0,675437,10.000000,67543
./tpcc.adr.undo,10,1000000,1,10,0,405650,10.000000,40565
./tpcc.eadr.clobber,10,1000000,1,10,0,719734,10.000000,71973
./tpcc.eadr.undo,10,1000000,1,10,0,1082948,10.000000,108294
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,782603,10.000000,78260
./tpcc.adr.clobber,10,1000000,1,10,0,675530,10.000000,67553
./tpcc.adr.undo,10,1000000,1,10,0,405579,10.000000,40557
./tpcc.eadr.clobber,10,1000000,1,10,0,720093,10.000000,72009
./tpcc.eadr.undo,10,1000000,1,10,0,1083065,10.000000,108306
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,783326,10.000000,78332
./tpcc.adr.clobber,10,1000000,1,10,0,674940,10.000000,67494
./tpcc.adr.undo,10,1000000,1,10,0,405152,10.000000,40515
./tpcc.eadr.clobber,10,1000000,1,10,0,719937,10.000000,71993
./tpcc.eadr.undo,10,1000000,1,10,0,1082842,10.000000,108284
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,783408,10.000000,78340
./tpcc.adr.clobber,10,1000000,1,10,0,675858,10.000000,67585
./tpcc.adr.undo,10,1000000,1,10,0,405626,10.000000,40562
./tpcc.eadr.clobber,10,1000000,1,10,0,719741,10.000000,71974
./tpcc.eadr.undo,10,1000000,1,10,0,1083190,10.000000,108319
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,783356,10.000000,78335
./tpcc.adr.clobber,10,1000000,1,10,0,675630,10.000000,67563
./tpcc.adr.undo,10,1000000,1,10,0,405684,10.000000,40568
./tpcc.eadr.clobber,10,1000000,1,10,0,719991,10.000000,71999
./tpcc.eadr.undo,10,1000000,1,10,0,1082351,10.000000,108235
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,783575,10.000000,78357
./tpcc.adr.clobber,10,1000000,1,10,0,675706,10.000000,67570
./tpcc.adr.undo,10,1000000,1,10,0,405687,10.000000,40568
./tpcc.eadr.clobber,10,1000000,1,10,0,719636,10.000000,71963
./tpcc.eadr.undo,10,1000000,1,10,0,1082173,10.000000,108217
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,783500,10.000000,78350
./tpcc.adr.clobber,10,1000000,1,10,0,675081,10.000000,67508
./tpcc.adr.undo,10,1000000,1,10,0,405667,10.000000,40566
./tpcc.eadr.clobber,10,1000000,1,10,0,720276,10.000000,72027
./tpcc.eadr.undo,10,1000000,1,10,0,1082014,10.000000,108201
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,783241,10.000000,78324
./tpcc.adr.clobber,10,1000000,1,10,0,675504,10.000000,67550
./tpcc.adr.undo,10,1000000,1,10,0,405490,10.000000,40549
./tpcc.eadr.clobber,10,1000000,1,10,0,720092,10.000000,72009
./tpcc.eadr.undo,10,1000000,1,10,0,1083016,10.000000,108301
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,783169,10.000000,78316
./tpcc.adr.clobber,10,1000000,1,10,0,675150,10.000000,67515
./tpcc.adr.undo,10,1000000,1,10,0,405742,10.000000,40574
./tpcc.eadr.clobber,10,1000000,1,10,0,719694,10.000000,71969
./tpcc.eadr.undo,10,1000000,1,10,0,1083027,10.000000,108302
./agr_tpcc/TPCC_12_fence,10,1000000,1,10,0,781455,10.000000,78145
