binary,nwarehouse,nitems,nthread,duration,nops,total_ops,exec_time,throughput
./tpcc.adr.clobber,10,1000000,1,10,0,664220,10.000000,66422
./tpcc.adr.undo,10,1000000,1,10,0,407606,10.000000,40760
./tpcc.eadr.clobber,10,1000000,1,10,0,709425,10.000000,70942
./tpcc.eadr.undo,10,1000000,1,10,0,1074993,10.000000,107499
./tpcc.adr.clobber,10,1000000,1,10,0,678044,10.000000,67804
./tpcc.adr.undo,10,1000000,1,10,0,410599,10.000000,41059
./tpcc.eadr.clobber,10,1000000,1,10,0,719181,10.000000,71918
./tpcc.eadr.undo,10,1000000,1,10,0,1074246,10.000000,107424
./tpcc.eadr.undo,10,1000000,1,10,0,1074172,10.000000,107417
./tpcc.eadr.undo,10,1000000,1,20,0,2149472,20.000000,107473
./tpcc.eadr.undo,10,100000,1,10,0,1124588,10.000000,112458
