binary,nwarehouse,nitems,nthread,duration,nops,total_ops,exec_time,throughput
./tpcc.adr.clobber,10,100000,1,10,0,1213562,10.000000,121356
./tpcc.adr.undo,10,100000,1,10,0,419520,10.000000,41952
./tpcc.eadr.clobber,10,100000,1,10,0,1558905,10.000000,155890
./tpcc.eadr.undo,10,100000,1,10,0,1914916,10.000000,191491
./tpcc.adr.clobber,10,100000,1,10,0,1228236,10.000000,122823
./tpcc.adr.undo,10,100000,1,10,0,419508,10.000000,41950
./tpcc.eadr.clobber,10,100000,1,10,0,1565431,10.000000,156543
./tpcc.eadr.undo,10,100000,1,10,0,1914499,10.000000,191449
./tpcc.adr.clobber,10,100000,1,10,0,1227744,10.000000,122774
./tpcc.adr.undo,10,100000,1,10,0,419502,10.000000,41950
./tpcc.eadr.clobber,10,100000,1,10,0,1564970,10.000000,156497
./tpcc.eadr.undo,10,100000,1,10,0,1915202,10.000000,191520
./tpcc.adr.clobber,10,100000,1,10,0,1186141,10.000000,118614
./tpcc.adr.undo,10,100000,1,10,0,419167,10.000000,41916
./tpcc.eadr.clobber,10,100000,1,10,0,1563877,10.000000,156387
./tpcc.eadr.undo,10,100000,1,10,0,1915118,10.000000,191511
./tpcc.adr.clobber,10,100000,1,10,0,1227569,10.000000,122756
./tpcc.adr.undo,10,100000,1,10,0,419524,10.000000,41952
./tpcc.eadr.clobber,10,100000,1,10,0,1559467,10.000000,155946
./tpcc.eadr.undo,10,100000,1,10,0,1913750,10.000000,191375
./tpcc.adr.clobber,10,100000,1,10,0,1224688,10.000000,122468
./tpcc.adr.undo,10,100000,1,10,0,419495,10.000000,41949
./tpcc.eadr.clobber,10,100000,1,10,0,1559467,10.000000,155946
./tpcc.eadr.undo,10,100000,1,10,0,1911975,10.000000,191197
./tpcc.adr.clobber,10,100000,1,10,0,1226639,10.000000,122663
./tpcc.adr.undo,10,100000,1,10,0,419455,10.000000,41945
./tpcc.eadr.clobber,10,100000,1,10,0,1534259,10.000000,153425
./tpcc.eadr.undo,10,100000,1,10,0,1907314,10.000000,190731
./tpcc.adr.clobber,10,100000,1,10,0,1227912,10.000000,122791
./tpcc.adr.undo,10,100000,1,10,0,419514,10.000000,41951
./tpcc.eadr.clobber,10,100000,1,10,0,1533161,10.000000,153316
./tpcc.eadr.undo,10,100000,1,10,0,1914207,10.000000,191420
./tpcc.adr.clobber,10,100000,1,10,0,1217580,10.000000,121758
./tpcc.adr.undo,10,100000,1,10,0,419481,10.000000,41948
./tpcc.eadr.clobber,10,100000,1,10,0,1560275,10.000000,156027
./tpcc.eadr.undo,10,100000,1,10,0,1912437,10.000000,191243
./tpcc.adr.clobber,10,100000,1,10,0,1226589,10.000000,122658
./tpcc.adr.undo,10,100000,1,10,0,419382,10.000000,41938
./tpcc.eadr.clobber,10,100000,1,10,0,1561609,10.000000,156160
./tpcc.eadr.undo,10,100000,1,10,0,1915271,10.000000,191527
